location,continent,date,population,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated
Kenya,Africa,2021-06-28,53771300.0,182884.0,3612.0,1003204.0,289800.0
Kiribati,Oceania,2021-06-28,119446.0,2.0,0.0,0.0,0.0
Kosovo,Europe,2021-06-28,1932774.0,107331.0,2262.0,116057.0,17811.0
Kuwait,Asia,2021-06-28,4270563.0,353133.0,1943.0,2875000.0,38000.0
Kyrgyzstan,Asia,2021-06-28,6524191.0,121946.0,1982.0,99900.0,73800.0
Laos,Asia,2021-06-28,7275556.0,2110.0,3.0,886238.0,530029.0
Latvia,Europe,2021-06-28,1886202.0,137240.0,2503.0,646816.0,521588.0
Lebanon,Asia,2021-06-28,6825442.0,544520.0,7845.0,870901.0,414486.0
Lesotho,Africa,2021-06-28,2142252.0,11239.0,329.0,36637.0,122.0
Liberia,Africa,2021-06-28,5057677.0,3794.0,123.0,79670.0,2542.0
Libya,Africa,2021-06-28,6871287.0,192786.0,3191.0,370066.0,0.0
Liechtenstein,Europe,2021-06-28,38137.0,3034.0,59.0,18935.0,12418.0
Lithuania,Europe,2021-06-28,2722291.0,278689.0,4381.0,1231196.0,1004386.0
Luxembourg,Europe,2021-06-28,625976.0,70642.0,818.0,328962.0,198634.0
Macao,Asia,2021-06-28,649342.0,0.0,0.0,229957.0,100914.0
Madagascar,Africa,2021-06-28,27691019.0,42194.0,909.0,197001.0,0.0
Malawi,Africa,2021-06-28,19129955.0,35709.0,1187.0,385242.0,43165.0
Malaysia,Asia,2021-06-28,32365998.0,739266.0,5001.0,5463128.0,2130051.0
Maldives,Asia,2021-06-28,540542.0,73482.0,209.0,316497.0,188788.0
Mali,Africa,2021-06-28,20250834.0,14419.0,525.0,133317.0,46317.0
Malta,Europe,2021-06-28,441539.0,30612.0,420.0,357171.0,315768.0
